"","date","un_region","who_region","country","iso_code","cases_new","cases_total","deaths_new","deaths_total","recovered_new","recovered_total","hosp_new","hosp_total","tested_new","tested_total"
"1",2020-01-03,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"2",2020-01-03,"Asia","WPRO","China","CN",0,0,0,0,NA,NA,NA,NA,NA,NA
"3",2020-01-03,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"4",2020-01-03,"Europe","EURO","Germany","DE",0,0,0,0,NA,NA,NA,NA,NA,NA
"5",2020-01-03,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"6",2020-01-03,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"7",2020-01-03,"Americas","AMRO","United States","US",0,0,0,0,NA,NA,NA,NA,NA,NA
"8",2020-01-04,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"9",2020-01-04,"Asia","WPRO","China","CN",1,1,0,0,NA,NA,NA,NA,NA,NA
"10",2020-01-04,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"11",2020-01-04,"Europe","EURO","Germany","DE",1,1,0,0,NA,NA,NA,NA,NA,NA
"12",2020-01-04,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"13",2020-01-04,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"14",2020-01-04,"Americas","AMRO","United States","US",0,0,0,0,NA,NA,NA,NA,NA,NA
"15",2020-01-05,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"16",2020-01-05,"Asia","WPRO","China","CN",0,1,0,0,NA,NA,NA,NA,NA,NA
"17",2020-01-05,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"18",2020-01-05,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"19",2020-01-05,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"20",2020-01-05,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"21",2020-01-05,"Americas","AMRO","United States","US",0,0,0,0,NA,NA,NA,NA,NA,NA
"22",2020-01-06,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"23",2020-01-06,"Asia","WPRO","China","CN",3,4,0,0,NA,NA,NA,NA,NA,NA
"24",2020-01-06,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"25",2020-01-06,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"26",2020-01-06,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"27",2020-01-06,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"28",2020-01-06,"Americas","AMRO","United States","US",0,0,0,0,NA,NA,NA,NA,NA,NA
"29",2020-01-07,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"30",2020-01-07,"Asia","WPRO","China","CN",0,4,0,0,NA,NA,NA,NA,NA,NA
"31",2020-01-07,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"32",2020-01-07,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"33",2020-01-07,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"34",2020-01-07,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"35",2020-01-07,"Americas","AMRO","United States","US",0,0,0,0,NA,NA,NA,NA,NA,NA
"36",2020-01-08,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"37",2020-01-08,"Asia","WPRO","China","CN",0,4,0,0,NA,NA,NA,NA,NA,NA
"38",2020-01-08,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"39",2020-01-08,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"40",2020-01-08,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"41",2020-01-08,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"42",2020-01-08,"Americas","AMRO","United States","US",0,0,0,0,NA,NA,NA,NA,NA,NA
"43",2020-01-09,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"44",2020-01-09,"Asia","WPRO","China","CN",0,4,0,0,NA,NA,NA,NA,NA,NA
"45",2020-01-09,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"46",2020-01-09,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"47",2020-01-09,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"48",2020-01-09,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"49",2020-01-09,"Americas","AMRO","United States","US",0,0,0,0,NA,NA,NA,NA,NA,NA
"50",2020-01-10,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"51",2020-01-10,"Asia","WPRO","China","CN",0,4,0,0,NA,NA,NA,NA,NA,NA
"52",2020-01-10,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"53",2020-01-10,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"54",2020-01-10,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"55",2020-01-10,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"56",2020-01-10,"Americas","AMRO","United States","US",0,0,0,0,NA,NA,NA,NA,NA,NA
"57",2020-01-11,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"58",2020-01-11,"Asia","WPRO","China","CN",0,4,0,0,NA,NA,NA,NA,NA,NA
"59",2020-01-11,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"60",2020-01-11,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"61",2020-01-11,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"62",2020-01-11,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"63",2020-01-11,"Americas","AMRO","United States","US",0,0,0,0,NA,NA,NA,NA,NA,NA
"64",2020-01-12,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"65",2020-01-12,"Asia","WPRO","China","CN",41,45,1,1,NA,NA,NA,NA,NA,NA
"66",2020-01-12,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"67",2020-01-12,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"68",2020-01-12,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"69",2020-01-12,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"70",2020-01-12,"Americas","AMRO","United States","US",0,0,0,0,NA,NA,NA,NA,NA,NA
"71",2020-01-13,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"72",2020-01-13,"Asia","WPRO","China","CN",0,45,0,1,NA,NA,NA,NA,NA,NA
"73",2020-01-13,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"74",2020-01-13,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"75",2020-01-13,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"76",2020-01-13,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"77",2020-01-13,"Americas","AMRO","United States","US",0,0,0,0,NA,NA,NA,NA,NA,NA
"78",2020-01-14,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"79",2020-01-14,"Asia","WPRO","China","CN",0,45,0,1,NA,NA,NA,NA,NA,NA
"80",2020-01-14,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"81",2020-01-14,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"82",2020-01-14,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"83",2020-01-14,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"84",2020-01-14,"Americas","AMRO","United States","US",0,0,0,0,NA,NA,NA,NA,NA,NA
"85",2020-01-15,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"86",2020-01-15,"Asia","WPRO","China","CN",0,45,0,1,NA,NA,NA,NA,NA,NA
"87",2020-01-15,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"88",2020-01-15,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"89",2020-01-15,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"90",2020-01-15,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"91",2020-01-15,"Americas","AMRO","United States","US",0,0,0,0,NA,NA,NA,NA,NA,NA
"92",2020-01-16,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"93",2020-01-16,"Asia","WPRO","China","CN",0,45,0,1,NA,NA,NA,NA,NA,NA
"94",2020-01-16,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"95",2020-01-16,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"96",2020-01-16,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"97",2020-01-16,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"98",2020-01-16,"Americas","AMRO","United States","US",0,0,0,0,NA,NA,NA,NA,NA,NA
"99",2020-01-17,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"100",2020-01-17,"Asia","WPRO","China","CN",4,49,1,2,NA,NA,NA,NA,NA,NA
"101",2020-01-17,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"102",2020-01-17,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"103",2020-01-17,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"104",2020-01-17,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"105",2020-01-17,"Americas","AMRO","United States","US",0,0,0,0,NA,NA,NA,NA,NA,NA
