Date,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020/1/30,GB,The United Kingdom,EURO,1,1,0,0
2020/1/31,GB,The United Kingdom,EURO,0,1,0,0
2020/2/1,GB,The United Kingdom,EURO,0,1,0,0
2020/2/2,GB,The United Kingdom,EURO,1,2,0,0
2020/2/3,GB,The United Kingdom,EURO,19,21,0,0
2020/2/4,GB,The United Kingdom,EURO,0,21,0,0
2020/2/5,GB,The United Kingdom,EURO,1,22,0,0
2020/2/6,GB,The United Kingdom,EURO,0,22,0,0
2020/2/7,GB,The United Kingdom,EURO,0,22,0,0
2020/2/8,GB,The United Kingdom,EURO,3,25,0,0
2020/2/9,GB,The United Kingdom,EURO,1,26,0,0
2020/2/10,GB,The United Kingdom,EURO,1,27,0,0
2020/2/11,GB,The United Kingdom,EURO,4,31,0,0
2020/2/12,GB,The United Kingdom,EURO,1,32,0,0
2020/2/13,GB,The United Kingdom,EURO,1,33,0,0
2020/2/14,GB,The United Kingdom,EURO,0,33,0,0
2020/2/15,GB,The United Kingdom,EURO,0,33,0,0
2020/2/16,GB,The United Kingdom,EURO,0,33,0,0
2020/2/17,GB,The United Kingdom,EURO,1,34,0,0
2020/2/18,GB,The United Kingdom,EURO,0,34,0,0
2020/2/19,GB,The United Kingdom,EURO,0,34,0,0
2020/2/20,GB,The United Kingdom,EURO,0,34,0,0
2020/2/21,GB,The United Kingdom,EURO,2,36,0,0
2020/2/22,GB,The United Kingdom,EURO,0,36,0,0
2020/2/23,GB,The United Kingdom,EURO,6,42,0,0
2020/2/24,GB,The United Kingdom,EURO,2,44,0,0
2020/2/25,GB,The United Kingdom,EURO,3,47,0,0
2020/2/26,GB,The United Kingdom,EURO,2,49,0,0
2020/2/27,GB,The United Kingdom,EURO,8,57,0,0
2020/2/28,GB,The United Kingdom,EURO,12,69,0,0
2020/2/29,GB,The United Kingdom,EURO,4,73,0,0
2020/3/1,GB,The United Kingdom,EURO,20,93,0,0
2020/3/2,GB,The United Kingdom,EURO,41,134,1,1
2020/3/3,GB,The United Kingdom,EURO,57,191,2,3
2020/3/4,GB,The United Kingdom,EURO,56,247,0,3
2020/3/5,GB,The United Kingdom,EURO,49,296,3,6
2020/3/6,GB,The United Kingdom,EURO,83,379,0,6
2020/3/7,GB,The United Kingdom,EURO,68,447,0,6
2020/3/8,GB,The United Kingdom,EURO,55,502,3,9
2020/3/9,GB,The United Kingdom,EURO,148,650,5,14
2020/3/10,GB,The United Kingdom,EURO,265,915,3,17
2020/3/11,GB,The United Kingdom,EURO,403,1318,8,25
2020/3/12,GB,The United Kingdom,EURO,484,1802,13,38
2020/3/13,GB,The United Kingdom,EURO,478,2280,16,54
2020/3/14,GB,The United Kingdom,EURO,352,2632,22,76
2020/3/15,GB,The United Kingdom,EURO,441,3073,32,108
2020/3/16,GB,The United Kingdom,EURO,602,3675,47,155
2020/3/17,GB,The United Kingdom,EURO,783,4458,52,207
