areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2020/1/30,1,1
overview,United Kingdom,K02000001,2020/1/31,0,1
overview,United Kingdom,K02000001,2020/2/1,0,1
overview,United Kingdom,K02000001,2020/2/2,1,2
overview,United Kingdom,K02000001,2020/2/3,19,21
overview,United Kingdom,K02000001,2020/2/4,0,21
overview,United Kingdom,K02000001,2020/2/5,1,22
overview,United Kingdom,K02000001,2020/2/6,0,22
overview,United Kingdom,K02000001,2020/2/7,0,22
overview,United Kingdom,K02000001,2020/2/8,3,25
overview,United Kingdom,K02000001,2020/2/9,1,26
overview,United Kingdom,K02000001,2020/2/10,1,27
overview,United Kingdom,K02000001,2020/2/11,4,31
overview,United Kingdom,K02000001,2020/2/12,1,32
overview,United Kingdom,K02000001,2020/2/13,1,33
overview,United Kingdom,K02000001,2020/2/14,0,33
overview,United Kingdom,K02000001,2020/2/15,0,33
overview,United Kingdom,K02000001,2020/2/16,0,33
overview,United Kingdom,K02000001,2020/2/17,1,34
overview,United Kingdom,K02000001,2020/2/18,0,34
overview,United Kingdom,K02000001,2020/2/19,0,34
overview,United Kingdom,K02000001,2020/2/20,0,34
overview,United Kingdom,K02000001,2020/2/21,2,36
overview,United Kingdom,K02000001,2020/2/22,0,36
overview,United Kingdom,K02000001,2020/2/23,6,42
overview,United Kingdom,K02000001,2020/2/24,2,44
overview,United Kingdom,K02000001,2020/2/25,3,47
overview,United Kingdom,K02000001,2020/2/26,2,49
overview,United Kingdom,K02000001,2020/2/27,8,57
overview,United Kingdom,K02000001,2020/2/28,12,69
overview,United Kingdom,K02000001,2020/2/29,4,73
overview,United Kingdom,K02000001,2020/3/1,20,93
overview,United Kingdom,K02000001,2020/3/2,41,134
overview,United Kingdom,K02000001,2020/3/3,57,191
overview,United Kingdom,K02000001,2020/3/4,56,247
overview,United Kingdom,K02000001,2020/3/5,49,296
overview,United Kingdom,K02000001,2020/3/6,83,379
overview,United Kingdom,K02000001,2020/3/7,68,447
overview,United Kingdom,K02000001,2020/3/8,55,502
overview,United Kingdom,K02000001,2020/3/9,148,650
overview,United Kingdom,K02000001,2020/3/10,265,915
overview,United Kingdom,K02000001,2020/3/11,403,1318
overview,United Kingdom,K02000001,2020/3/12,484,1802
overview,United Kingdom,K02000001,2020/3/13,478,2280
overview,United Kingdom,K02000001,2020/3/14,352,2632
overview,United Kingdom,K02000001,2020/3/15,441,3073
overview,United Kingdom,K02000001,2020/3/16,602,3675
overview,United Kingdom,K02000001,2020/3/17,783,4458
overview,United Kingdom,K02000001,2020/3/18,981,5439
overview,United Kingdom,K02000001,2020/3/19,0,6481
overview,United Kingdom,K02000001,2020/3/20,0,7733
overview,United Kingdom,K02000001,2020/3/21,0,8914
overview,United Kingdom,K02000001,2020/3/22,0,10277
overview,United Kingdom,K02000001,2020/3/23,2290,12567
overview,United Kingdom,K02000001,2020/3/24,2354,14921
overview,United Kingdom,K02000001,2020/3/25,2666,17587
overview,United Kingdom,K02000001,2020/3/26,3039,20626
overview,United Kingdom,K02000001,2020/3/27,3154,23780
overview,United Kingdom,K02000001,2020/3/28,2774,26554
overview,United Kingdom,K02000001,2020/3/29,2818,29372
overview,United Kingdom,K02000001,2020/3/30,4195,33567
overview,United Kingdom,K02000001,2020/3/31,4463,38030
overview,United Kingdom,K02000001,2020/4/1,4891,42921
overview,United Kingdom,K02000001,2020/4/2,4824,47745
overview,United Kingdom,K02000001,2020/4/3,4852,52597
overview,United Kingdom,K02000001,2020/4/4,3976,56573
overview,United Kingdom,K02000001,2020/4/5,3556,60129
overview,United Kingdom,K02000001,2020/4/6,5273,65402
overview,United Kingdom,K02000001,2020/4/7,5477,70879
overview,United Kingdom,K02000001,2020/4/8,5146,76025
overview,United Kingdom,K02000001,2020/4/9,4875,80900
overview,United Kingdom,K02000001,2020/4/10,4327,85227
overview,United Kingdom,K02000001,2020/4/11,3585,88812
overview,United Kingdom,K02000001,2020/4/12,3507,92319
overview,United Kingdom,K02000001,2020/4/13,4203,96522
overview,United Kingdom,K02000001,2020/4/14,4335,100857
overview,United Kingdom,K02000001,2020/4/15,5070,105927
overview,United Kingdom,K02000001,2020/4/16,5292,111219
overview,United Kingdom,K02000001,2020/4/17,4977,116196
overview,United Kingdom,K02000001,2020/4/18,4743,120939
overview,United Kingdom,K02000001,2020/4/19,3881,124820
overview,United Kingdom,K02000001,2020/4/20,4441,129261
overview,United Kingdom,K02000001,2020/4/21,4795,134056
overview,United Kingdom,K02000001,2020/4/22,5517,139573
overview,United Kingdom,K02000001,2020/4/23,5167,144740
overview,United Kingdom,K02000001,2020/4/24,4961,149701
overview,United Kingdom,K02000001,2020/4/25,3757,153458
overview,United Kingdom,K02000001,2020/4/26,3476,156934
overview,United Kingdom,K02000001,2020/4/27,4739,161673
overview,United Kingdom,K02000001,2020/4/28,4720,166393
overview,United Kingdom,K02000001,2020/4/29,5433,171826
overview,United Kingdom,K02000001,2020/4/30,4961,176787
overview,United Kingdom,K02000001,2020/5/1,4766,181553
overview,United Kingdom,K02000001,2020/5/2,3258,184811
overview,United Kingdom,K02000001,2020/5/3,3002,187813
overview,United Kingdom,K02000001,2020/5/4,3398,191211
overview,United Kingdom,K02000001,2020/5/5,3686,194897
overview,United Kingdom,K02000001,2020/5/6,3832,198729
overview,United Kingdom,K02000001,2020/5/7,3787,202516
overview,United Kingdom,K02000001,2020/5/8,3064,205580
overview,United Kingdom,K02000001,2020/5/9,2170,207750
overview,United Kingdom,K02000001,2020/5/10,2337,210087
overview,United Kingdom,K02000001,2020/5/11,3612,213699
overview,United Kingdom,K02000001,2020/5/12,3410,217109
overview,United Kingdom,K02000001,2020/5/13,3330,220439
overview,United Kingdom,K02000001,2020/5/14,2630,223069
overview,United Kingdom,K02000001,2020/5/15,2530,225599
overview,United Kingdom,K02000001,2020/5/16,2082,227681
overview,United Kingdom,K02000001,2020/5/17,1837,229518
overview,United Kingdom,K02000001,2020/5/18,2581,232099
overview,United Kingdom,K02000001,2020/5/19,3063,235162
overview,United Kingdom,K02000001,2020/5/20,2719,237881
overview,United Kingdom,K02000001,2020/5/21,2567,240448
overview,United Kingdom,K02000001,2020/5/22,2057,242505
overview,United Kingdom,K02000001,2020/5/23,1531,244036
overview,United Kingdom,K02000001,2020/5/24,1373,245409
overview,United Kingdom,K02000001,2020/5/25,1625,247034
overview,United Kingdom,K02000001,2020/5/26,2070,249104
overview,United Kingdom,K02000001,2020/5/27,1825,250929
overview,United Kingdom,K02000001,2020/5/28,1757,252686
overview,United Kingdom,K02000001,2020/5/29,1531,254217
overview,United Kingdom,K02000001,2020/5/30,1132,255349
overview,United Kingdom,K02000001,2020/5/31,1080,256429
overview,United Kingdom,K02000001,2020/6/1,1438,257867
overview,United Kingdom,K02000001,2020/6/2,1492,259359
overview,United Kingdom,K02000001,2020/6/3,1369,260728
overview,United Kingdom,K02000001,2020/6/4,1249,261977
overview,United Kingdom,K02000001,2020/6/5,1123,263100
overview,United Kingdom,K02000001,2020/6/6,804,263904
overview,United Kingdom,K02000001,2020/6/7,722,264626
overview,United Kingdom,K02000001,2020/6/8,1099,265725
overview,United Kingdom,K02000001,2020/6/9,1165,266890
overview,United Kingdom,K02000001,2020/6/10,1196,268086
overview,United Kingdom,K02000001,2020/6/11,1013,269099
overview,United Kingdom,K02000001,2020/6/12,1053,270152
overview,United Kingdom,K02000001,2020/6/13,886,271038
overview,United Kingdom,K02000001,2020/6/14,826,271864
overview,United Kingdom,K02000001,2020/6/15,1045,272909
overview,United Kingdom,K02000001,2020/6/16,1103,274012
overview,United Kingdom,K02000001,2020/6/17,1017,275029
overview,United Kingdom,K02000001,2020/6/18,1022,276051
overview,United Kingdom,K02000001,2020/6/19,993,277044
overview,United Kingdom,K02000001,2020/6/20,683,277727
overview,United Kingdom,K02000001,2020/6/21,636,278363
overview,United Kingdom,K02000001,2020/6/22,899,279262
overview,United Kingdom,K02000001,2020/6/23,883,280145
overview,United Kingdom,K02000001,2020/6/24,0,280922
overview,United Kingdom,K02000001,2020/6/25,726,281648
overview,United Kingdom,K02000001,2020/6/26,666,282314
overview,United Kingdom,K02000001,2020/6/27,653,282967
overview,United Kingdom,K02000001,2020/6/28,449,283416
overview,United Kingdom,K02000001,2020/6/29,724,284140
overview,United Kingdom,K02000001,2020/6/30,623,284763
overview,United Kingdom,K02000001,2020/7/1,652,285415
overview,United Kingdom,K02000001,2020/7/2,606,286021
overview,United Kingdom,K02000001,2020/7/3,568,286589
overview,United Kingdom,K02000001,2020/7/4,399,286988
overview,United Kingdom,K02000001,2020/7/5,0,287546
overview,United Kingdom,K02000001,2020/7/6,714,288260
overview,United Kingdom,K02000001,2020/7/7,608,288868
overview,United Kingdom,K02000001,2020/7/8,713,289581
overview,United Kingdom,K02000001,2020/7/9,722,290303
overview,United Kingdom,K02000001,2020/7/10,568,290871
overview,United Kingdom,K02000001,2020/7/11,459,291330
overview,United Kingdom,K02000001,2020/7/12,366,291696
