areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
overview,United Kingdom,K02000001,2022/4/20,26147,21890037
overview,United Kingdom,K02000001,2022/4/19,116227,21863944
overview,United Kingdom,K02000001,2022/4/18,0,21747638
overview,United Kingdom,K02000001,2022/4/17,0,21747638
overview,United Kingdom,K02000001,2022/4/16,0,21747638
overview,United Kingdom,K02000001,2022/4/15,0,21747638
overview,United Kingdom,K02000001,2022/4/14,32608,21747638
overview,United Kingdom,K02000001,2022/4/13,35926,21715116
overview,United Kingdom,K02000001,2022/4/12,37819,21679280
overview,United Kingdom,K02000001,2022/4/11,91201,21640901
overview,United Kingdom,K02000001,2022/4/10,0,21549830
overview,United Kingdom,K02000001,2022/4/9,0,21549830
overview,United Kingdom,K02000001,2022/4/8,41384,21549830
overview,United Kingdom,K02000001,2022/4/7,47126,21508546
overview,United Kingdom,K02000001,2022/4/6,51253,21461556
overview,United Kingdom,K02000001,2022/4/5,50202,21410305
overview,United Kingdom,K02000001,2022/4/4,143382,21359681
overview,United Kingdom,K02000001,2022/4/3,0,21216874
overview,United Kingdom,K02000001,2022/4/2,0,21216874
overview,United Kingdom,K02000001,2022/4/1,69811,21216874
overview,United Kingdom,K02000001,2022/3/31,74720,21147425
overview,United Kingdom,K02000001,2022/3/30,87188,21073009
overview,United Kingdom,K02000001,2022/3/29,80830,20986171
overview,United Kingdom,K02000001,2022/3/28,215001,20905515
overview,United Kingdom,K02000001,2022/3/27,0,20691123
overview,United Kingdom,K02000001,2022/3/26,0,20691123
overview,United Kingdom,K02000001,2022/3/25,77509,20691123
overview,United Kingdom,K02000001,2022/3/24,98204,20613817
overview,United Kingdom,K02000001,2022/3/23,102483,20515998
overview,United Kingdom,K02000001,2022/3/22,94524,20413731
overview,United Kingdom,K02000001,2022/3/21,226524,20319434
overview,United Kingdom,K02000001,2022/3/20,0,20093762
overview,United Kingdom,K02000001,2022/3/19,0,20093762
overview,United Kingdom,K02000001,2022/3/18,90349,20093762
overview,United Kingdom,K02000001,2022/3/17,89717,20001627
overview,United Kingdom,K02000001,2022/3/16,91345,19911155
overview,United Kingdom,K02000001,2022/3/15,109802,19820181
overview,United Kingdom,K02000001,2022/3/14,170985,19700952
overview,United Kingdom,K02000001,2022/3/13,0,19530485
overview,United Kingdom,K02000001,2022/3/12,0,19530485
overview,United Kingdom,K02000001,2022/3/11,72898,19530485
overview,United Kingdom,K02000001,2022/3/10,71259,19457976
overview,United Kingdom,K02000001,2022/3/9,67159,19373884
overview,United Kingdom,K02000001,2022/3/8,61900,19307014
overview,United Kingdom,K02000001,2022/3/7,126604,19245301
overview,United Kingdom,K02000001,2022/3/6,0,19119181
overview,United Kingdom,K02000001,2022/3/5,0,19119181
overview,United Kingdom,K02000001,2022/3/4,44740,19119181
overview,United Kingdom,K02000001,2022/3/3,45656,19074696
overview,United Kingdom,K02000001,2022/3/2,44017,19029321
